id;status;price;discount_in_percents;commission_in_percents;slot_id;quest_id;player_id
b829c4f2-3edf-4af4-921f-666f792d16e2;CANCELLED;31093;18;88;1;1;1
ee239969-2345-4799-8998-ab35c44c08a9;COMPLETED;49138;87;45;2;2;2
0fea2317-71cf-4ae9-abbf-c3650dc6ded2;NEW;75045;50;11;3;3;3
9c234ec8-43e4-46c5-8fb9-be02999eb0e7;COMPLETED;16182;92;91;4;4;4
b6190d33-7fd5-4539-88bd-a532045a00c6;CANCELLED;34012;82;2;5;5;5
0606edce-8dec-496f-ab76-65a1b7ecd7af;CONFIRMED;56176;72;74;6;6;6
651c0748-bf94-4cbb-b171-501a705b251a;CONFIRMED;34376;42;3;7;7;7
cc191bbb-6c8e-4604-a2cd-ed0c44dca9e7;NEW;68432;86;65;8;8;8
59a8a42f-3af1-4425-9148-de5c55684a3c;CANCELLED;82993;98;60;9;9;9
9f5297ef-58f7-452d-b276-d9f86b2dbdff;NEW;33616;25;24;10;10;10
