id;url;quest_id
4ec1e04f-f44b-4360-b286-63a0037d85e9;https://great-escape.ru/images/quests/5_cat.jpg;49b9a375-d524-49be-8fd4-dec7820fa1a2
58ee0997-d76a-4171-915b-b890415584d9;https://great-escape.ru/images/quests/4_cat.jpg;f5dc4b79-0bbb-4d21-a0da-3e691f4332a6
0a1e62eb-0ec1-49e3-8f79-26b8c5a66d3b;https://great-escape.ru/images/quests/3_cat.jpg;b844e5b7-47b6-4522-b68a-d0391e65a27d
4820627c-b6fe-42e4-a3f1-d3c0eaf28f9c;https://great-escape.ru/images/quests/2_cat.jpg;ada2a66c-e789-4bee-b4d3-6d4e216b4b70
9fe7e118-32f1-46db-bb06-00743ec807fe;https://great-escape.ru/images/quests/1_cat.jpg;247b40ff-4850-4da9-8f21-7dd82257551b
8ad25340-207f-4f4f-a478-cd7657603a18;https://great-escape.ru/images/quests/5_cat.jpg;1ee5934b-207f-4134-945d-8a66177b207f
c00bac64-6e7c-4dac-a49d-a60b4a1ca5b6;https://great-escape.ru/images/quests/4_cat.jpg;7261ed4b-6786-4e2c-9d16-334fdc3b4259
c18038aa-02fd-4346-b55c-c2e61061e879;https://great-escape.ru/images/quests/3_cat.jpg;10b93cad-3234-4af3-b83d-ca82032921cc
1fdbda27-6ee6-4b62-abd3-2d2c2dc3f90d;https://great-escape.ru/images/quests/2_cat.jpg;76cfe8f9-6d14-48df-98ec-fe0a3983fca3
570fabe9-00e1-4577-9003-c2573dac2954;https://great-escape.ru/images/quests/1_cat.jpg;b2d716b4-a238-4a23-964f-3ffa64e01b1f
