id;address;address_explanation;city_id
88da88eb-6733-410b-8012-50a432ebbf7c;Secured productize;../fake-data/blob/hipster.txt;e6bad52e-d15d-4b75-b8fd-7cebabe27758
407c9169-a5cd-4f3a-b4c9-8cd67584fa9d;schemas;../fake-data/blob/hipster.txt;edae032a-4e4c-4076-be15-80ea75c21986
a5ff46ea-c539-4ae0-8ec5-c2f9e5d59f6c;calculate program;../fake-data/blob/hipster.txt;56d4df81-e5a8-4991-beab-9651139c79cd
a3aaefff-1cfa-4386-ace2-1883dd717742;Ghana Games magnetic;../fake-data/blob/hipster.txt;3bc5fbd0-f1cf-4160-9f02-6b9022945b96
219e86d1-d8bc-411d-9509-d92df9fb12a1;Savings Account cross-platform Colombia;../fake-data/blob/hipster.txt;8df8fa84-0919-4bfd-a351-a2e33fae1f3f
57de8cd0-72fc-4709-bd4c-400bbb9a5ca9;virtual;../fake-data/blob/hipster.txt;ce8cbb01-f055-449a-8d69-300b945e906d
a1b96f2c-408b-4a6f-99e0-e36985eafcac;e-enable feed;../fake-data/blob/hipster.txt;17cdea1f-1b2d-4357-8983-e90615c342fd
afdf4fad-aa37-4be8-be8c-a0d0cfa94f57;Wisconsin Frozen Forward;../fake-data/blob/hipster.txt;ffe6b07f-ada4-4731-a589-cd244e280313
ccd62db3-9245-4fc5-af62-cb028a7c4d71;connecting;../fake-data/blob/hipster.txt;763d6ad4-e504-440d-970b-48c68bdca506
829a682f-f102-44c2-b1d1-44414a450f2d;cross-platform;../fake-data/blob/hipster.txt;c67f5dcd-e168-46c8-bd0e-791a633277f5
