id;slug;title;description;players_min_count;players_max_count;duration_in_minutes;complexity;fear_level;type;location_id;company_id
49b9a375-d524-49be-8fd4-dec7820fa1a2;Wooden;Concrete;../fake-data/blob/hipster.txt;23426;17963;66390;MIDDLE;ABSENT;PERFORMANCE;88da88eb-6733-410b-8012-50a432ebbf7c;6f005880-38f7-472e-a600-70199a0f9231
f5dc4b79-0bbb-4d21-a0da-3e691f4332a6;fuchsia withdrawal;Producer payment Tasty;../fake-data/blob/hipster.txt;96362;47982;21745;EASY;MODERATE;ESCAPE;407c9169-a5cd-4f3a-b4c9-8cd67584fa9d;3ee8ec73-3548-448c-8a04-9a15df87d069
b844e5b7-47b6-4522-b68a-d0391e65a27d;Customer synergies;Money Market Account Representative iterate;../fake-data/blob/hipster.txt;486;24942;66886;HARD;MODERATE;PERFORMANCE;a5ff46ea-c539-4ae0-8ec5-c2f9e5d59f6c;c9e70ff1-9d21-4c45-a98e-2cba67708c5e
ada2a66c-e789-4bee-b4d3-6d4e216b4b70;Islands;Coordinator connect;../fake-data/blob/hipster.txt;57012;90175;25214;MIDDLE;ABSENT;ESCAPE;a3aaefff-1cfa-4386-ace2-1883dd717742;a25a4842-cbab-4a69-b254-1d95c2cfc550
247b40ff-4850-4da9-8f21-7dd82257551b;Future;Analyst Bypass deposit;../fake-data/blob/hipster.txt;10184;79280;30567;EASY;ABSENT;ESCAPE;219e86d1-d8bc-411d-9509-d92df9fb12a1;0d8dac9d-b07d-4097-b3c7-cf2b69341ec7
1ee5934b-207f-4134-945d-8a66177b207f;utilisation Incredible;Licensed Fresh Hat;../fake-data/blob/hipster.txt;856;52487;20493;MIDDLE;ABSENT;PERFORMANCE;57de8cd0-72fc-4709-bd4c-400bbb9a5ca9;74bbbe6d-86ed-4d5a-93a3-0ed518916df4
7261ed4b-6786-4e2c-9d16-334fdc3b4259;Reunion;programming COM;../fake-data/blob/hipster.txt;59237;36876;21040;EASY;ABSENT;ESCAPE;a1b96f2c-408b-4a6f-99e0-e36985eafcac;51dc1c19-1ec3-45b8-9345-758e8e553f60
10b93cad-3234-4af3-b83d-ca82032921cc;Credit Card Account;foreground;../fake-data/blob/hipster.txt;39126;68770;70971;EASY;ABSENT;ESCAPE;afdf4fad-aa37-4be8-be8c-a0d0cfa94f57;2348e42d-574b-442d-97dc-d593f657b9ef
76cfe8f9-6d14-48df-98ec-fe0a3983fca3;Incredible Soap auxiliary;sensor virtual Executive;../fake-data/blob/hipster.txt;71106;81961;76208;EASY;MINIMAL;ESCAPE;ccd62db3-9245-4fc5-af62-cb028a7c4d71;1d339250-958b-4cca-a0e3-45e982389206
b2d716b4-a238-4a23-964f-3ffa64e01b1f;Streamlined Home Loan Account Cambridgeshire;Jewelery parsing;../fake-data/blob/hipster.txt;84241;39145;70372;EASY;MODERATE;PERFORMANCE;829a682f-f102-44c2-b1d1-44414a450f2d;13e2f426-fdeb-4d88-97db-09d3609903f1
