id;type;settings;quest_id
9494ef2b-1fc4-4ebf-87cf-affcf0224ffa;BOOK_FORM;../fake-data/blob/hipster.txt;49b9a375-d524-49be-8fd4-dec7820fa1a2
f05e1950-70ce-44f6-af89-ed3be136f8e3;MIR_KVESTOV;../fake-data/blob/hipster.txt;f5dc4b79-0bbb-4d21-a0da-3e691f4332a6
6abb2b74-1795-49f4-a15d-185fe4eb9cdb;BOOK_FORM;../fake-data/blob/hipster.txt;b844e5b7-47b6-4522-b68a-d0391e65a27d
c0bae3cf-5180-4da0-be0b-8788d2208610;MIR_KVESTOV;../fake-data/blob/hipster.txt;ada2a66c-e789-4bee-b4d3-6d4e216b4b70
65316442-25b1-4ee1-a20e-5f41f4fe5311;BOOK_FORM;../fake-data/blob/hipster.txt;247b40ff-4850-4da9-8f21-7dd82257551b
26627377-3b0b-405c-86ce-00366393e10b;MIR_KVESTOV;../fake-data/blob/hipster.txt;1ee5934b-207f-4134-945d-8a66177b207f
22cfd820-0fd7-4666-8621-0fa3cbb619f5;BOOK_FORM;../fake-data/blob/hipster.txt;7261ed4b-6786-4e2c-9d16-334fdc3b4259
7fffb192-cfa0-4bb4-9ff3-bf629990f635;MIR_KVESTOV;../fake-data/blob/hipster.txt;10b93cad-3234-4af3-b83d-ca82032921cc
f1d90c92-64c9-423f-973e-c167cc7b9e64;MIR_KVESTOV;../fake-data/blob/hipster.txt;76cfe8f9-6d14-48df-98ec-fe0a3983fca3
5fa9deb6-f3fa-4ec7-b454-b09be26c861f;BOOK_FORM;../fake-data/blob/hipster.txt;b2d716b4-a238-4a23-964f-3ffa64e01b1f
